	DSynCom_SSM_NA_A_1	DSynCom_SSM_NA_B_1	DSynCom_SSM_NA_C_1	DSynCom_SSM_101_A_2	DSynCom_SSM_101_B_2	DSynCom_SSM_102_B_2	DSynCom_SSM_102_A_2	DSynCom_SSM_101_A_3	DSynCom_SSM_101_B_3	DSynCom_SSM_102_A_3	DSynCom_SSM_102_B_3	Wk_4_D_Syncom_10_1_RepB	Wk_4_D_Syncom_10_2_RepA	Wk_4_D_Syncom_10_2_RepB	Wk_5_D_Syncom_10_1_RepA	Wk_5_D_Syncom_10_1_RepB	Wk_5_D_Syncom_10_2_RepA	Wk_5_D_Syncom_10_2_RepB	Wk_6_D_Syncom_10_1_RepA	Wk_6_D_Syncom_10_1_RepB	Wk_6_D_Syncom_10_2_RepA	Wk_6_D_Syncom_10_2_RepB	Wk_7_D_Syncom_10_1_RepA	Wk_7_D_Syncom_10_1_RepB	Wk_7_D_Syncom_10_2_RepA	Wk_7_D_Syncom_10_2_RepB	Wk_8_D_Syncom_10_1_RepA	Wk_8_D_Syncom_10_1_RepB	Wk_8_D_Syncom_10_2_RepA	Wk_8_D_Syncom_10_2_RepB	DSynCom_SSMEx_NA_A_1	DSynCom_SSMEx_NA_B_1	DSynCom_SSMEx_NA_C_1	DSynCom_SSMEx_101_A_2	DSynCom_SSMEx_102_B_2	DSynCom_SSMEx_101_A_3	DSynCom_SSMEx_102_A_3	DSynCom_SSMEx_102_B_3	Wk_4_D_Syncom_Ex_10_1_RepA	Wk_4_D_Syncom_Ex_10_1_RepB	Wk_4_D_Syncom_Ex_10_2_RepA	Wk_4_D_Syncom_Ex_10_2_RepB	Wk_5_D_Syncom_Ex_10_1_RepA	Wk_5_D_Syncom_Ex_10_1_RepB	Wk_5_D_Syncom_Ex_10_2_RepA	Wk_5_D_Syncom_Ex_10_2_RepB	Wk_6_D_Syncom_Ex_10_1_RepA	Wk_6_D_Syncom_Ex_10_1_RepB	Wk_6_D_Syncom_Ex_10_2_RepA	Wk_6_D_Syncom_Ex_10_2_RepB	Wk_7_D_Syncom_Ex_10_1_RepA	Wk_7_D_Syncom_Ex_10_1_RepB	Wk_7_D_Syncom_Ex_10_2_RepA	Wk_7_D_Syncom_Ex_10_2_RepB	Wk_8_D_Syncom_Ex_10_1_RepA	Wk_8_D_Syncom_Ex_10_1_RepB	Wk_8_D_Syncom_Ex_10_2_RepA	Wk_8_D_Syncom_Ex_10_2_RepB	SymCom_W_1	SymCom_W_10	SymCom_W_11	SymCom_W_12	SymCom_W_13	SymCom_W_14	SymCom_W_15	SymCom_W_16	SymCom_W_18	SymCom_W_19	SymCom_W_2	SymCom_W_20	SymCom_W_3	SymCom_W_4	SymCom_W_5	SymCom_W_6	SymCom_W_7	SymCom_W_8	SymCom_W_9	SymCom_WRh_1	SymCom_WRh_10	SymCom_WRh_11	SymCom_WRh_12	SymCom_WRh_13	SymCom_WRh_14	SymCom_WRh_16	SymCom_WRh_17	SymCom_WRh_18	SymCom_WRh_19	SymCom_WRh_2	SymCom_WRh_20	SymCom_WRh_3	SymCom_WRh_4	SymCom_WRh_5	SymCom_WRh_6	SymCom_WRh_7	SymCom_WRh_8	SymCom_WRh_9	SymCom_D_1	SymCom_D_10	SymCom_D_11	SymCom_D_12	SymCom_D_13	SymCom_D_14	SymCom_D_15	SymCom_D_16	SymCom_D_17	SymCom_D_18	SymCom_D_19	SymCom_D_2	SymCom_D_20	SymCom_D_3	SymCom_D_4	SymCom_D_5	SymCom_D_6	SymCom_D_7	SymCom_D_8	SymCom_D_9	SymCom_DRh_1	SymCom_DRh_10	SymCom_DRh_11	SymCom_DRh_12	SymCom_DRh_13	SymCom_DRh_14	SymCom_DRh_15	SymCom_DRh_16	SymCom_DRh_17	SymCom_DRh_18	SymCom_DRh_19	SymCom_DRh_2	SymCom_DRh_20	SymCom_DRh_3	SymCom_DRh_4	SymCom_DRh_5	SymCom_DRh_6	SymCom_DRh_7	SymCom_DRh_8	SymCom_DRh_9	taxonomy
SAI_226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1445	2496	1633	1524	9284	2458	1615	3302	2593	922	2451	2948	3536	2766	539	3861	1172	2191	814	439	465	331	744	396	223	345	805	466	388	558	453	568	425	840	554	453	1098	1200	91	1823	378	978	4510	2318	1532	735	243	1150	661	642	507	4454	257	222	1104	1171	1235	985	293	605	293	322	244	245	670	380	296	331	137	514	126	407	208	272	266	259	386	388	Kribbella
MH2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	325	320	63	192	145	140	253	274	214	147	48	320	110	284	59	264	133	172	116	80	107	51	78	81	32	49	115	121	82	102	58	72	29	73	131	107	145	281	30	168	132	139	155	69	214	129	52	71	53	146	176	100	46	45	87	173	131	165	51	117	58	59	67	27	28	108	67	60	45	74	25	43	46	36	78	51	93	117	Rhodococcus
S1	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	98	16	201	91	98	56	358	80	54	37	239	84	251	44	165	99	93	163	46	56	39	50	35	29	64	67	67	37	45	52	55	0	61	71	48	61	68	0	131	44	117	61	59	88	34	20	49	22	96	141	90	17	25	44	98	95	71	21	62	45	41	31	36	35	80	59	45	37	44	35	32	45	15	46	43	32	85	Rhodococcus
SAI_104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	24	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Streptomyces
SAI_110	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	91	0	62	16	0	282	62	37	15	0	17	35	82	23	18	42	37	17	7	20	8	38	6	0	40	0	44	23	7	6	8	0	50	10	13	10	14	0	29	0	13	15	15	35	0	4	0	831	9	10	9	14	0	0	0	46	9	0	18	0	0	4	30	26	66	14	14	14	10	20	22	11	4	9	7	54	16	Streptomyces
SAI_173	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Streptomyces
TBS_022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26	39	49	118	56	28	14	105	37	0	17	41	103	63	14	51	30	71	117	29	64	47	46	33	25	79	64	35	27	29	36	30	0	167	78	32	48	53	0	61	11	62	37	48	40	0	0	27	0	30	56	36	0	0	40	27	40	12	20	48	36	35	60	37	58	43	61	17	55	30	47	15	39	19	39	16	17	52	Bacillus
TBS_040	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27	47	48	96	60	21	0	109	0	24	31	50	112	67	0	50	26	64	80	0	63	53	42	26	0	64	42	28	0	31	29	28	30	137	86	21	46	46	9	37	0	47	0	45	25	20	0	32	0	0	41	78	5	0	29	20	19	0	0	43	26	30	48	39	38	32	48	18	39	30	39	22	0	0	47	20	24	45	Bacillus
TBS_051	1	14	18	1	1	0	1	1	1	4	0	7	9	0	33	4	11	6	17	10	10	11	10	15	11	2	14	9	4	18	6	4	0	0	0	4	0	0	0	19	13	16	9	20	5	4	13	8	14	7	0	8	7	18	5	3	11	8	110	185	109	866	218	128	0	754	161	38	109	298	437	509	60	271	126	411	801	119	551	575	345	168	103	804	395	325	198	234	278	223	36	1834	799	199	307	311	0	407	75	450	226	332	141	29	35	83	32	137	309	335	17	14	252	184	272	85	110	500	290	410	657	544	613	369	613	267	728	355	666	239	269	79	664	200	179	548	Bacillus
TBS_102	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	62	0	0	0	38	0	0	0	0	0	0	90	0	49	44	24	0	0	63	23	32	0	0	0	0	0	128	54	0	0	21	0	0	0	44	0	0	0	0	0	0	0	11	48	33	0	0	0	0	0	0	0	47	24	37	32	33	67	0	47	29	55	25	53	0	0	0	51	0	29	41	Bacillus
