	Mock_W_R_1	SynCom_W_R_1	Mock_D_R_1	SynCom_D_R_1	Mock_W_Rh_1	SynCom_W_Rh_1	Mock_D_Rh_1	SynCom_D_Rh_1	Mock_W_R_2	SynCom_W_R_2	Mock_D_R_2	SynCom_D_R_2	Mock_W_Rh_2	SynCom_W_Rh_2	Mock_D_Rh_2	SynCom_D_Rh_2	taxonomy
SAI_226	1180	2642	7903	5827	220	364	2988	4491	1377	450	6770	5474	258	194	3829	3984	Kribbella
MH2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	Rhodococcus
S1	1	1	1	1	1	1	1	1	1	1	1	1	1	15	1	1	Rhodococcus
SAI_104	2338	5205	11825	8514	0	256	6785	3879	1927	1025	4155	6184	86	110	3983	3911	Streptomyces
SAI_110	555	1037	3051	1478	1	1	2305	1492	279	175	466	473	1	1	1648	843	Streptomyces
SAI_173	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	Streptomyces
TBS_022	578	458	4497	6357	368	232	6869	4004	271	108	2110	1385	392	308	2922	3168	Bacillus
TBS_040	165	328	3728	3102	85	162	5242	3277	82	26	1483	1051	106	73	2580	2862	Bacillus
TBS_051	41	33	5707	2160	6	14	634	496	1	24	1104	637	1	16	365	428	Bacillus
TBS_102	1	1	13704	598	1	1	585	170	1	1	7927	183	1	1	800	175	Bacillus
TBS_111	1	1	428	1	1	8	61	1	1	1	698	1	1	1	117	31	Bacillus
TBS_113	1	1	1	1	1	1	60	1	1	1	2058	1	1	1	1	1	Bacillus
TBS_043	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	Brevibacillus
004-C1	1	1	6	11	1	1	54	69	1	1	1	1	1	1	16	91	Paenibacillus
TBS_090	36	1	96	7	1	1	450	120	1	1	17	157	1	1	213	160	Paenibacillus
TBS_091	1	1	11	1	1	1	49	11	1	1	8	158	1	1	83	72	Paenibacillus
TBS_021	13	1	1	1	1	34	1	18	20	14	1	1	249	4	1	14	Chryseobacterium
TBS_027	16	11	1	1	10	1	1	343	1	23	1	1	1	1	1	1	Chryseobacterium
CO6	1	1	1	1	23	1	1	1	1	182	1	1	44	46	1	1	Chryseobacterium
SO6b	1	29	1	1	1	1	1	1	1	66	1	1	1	9	1	1	Flavobacterium
TBS_038	3523	2412	2348	649	196	141	463	636	794	1043	196	323	88	122	428	158	Rhizobium
Sin1	1	1	1	1	1	1	1	1	1	1	1	45	1	1	1	1	Sphingobium
SO1	1	1	1	1	1	1	1	10	55	41	1	5	113	1	1	17	Acinetobacter
CO2	1	1	1	1	1	1	1	25	1	1	1	765	1	1	1	15	Paraburkholderia
SO8-2	1	1	1	1	9	1	1	1	1	9	1	470	1	1	1	5	Paraburkholderia
PH2	58	217	332	69	19	1	325	470	11	232	595	99	13	18	239	426	Enterobacter
TBS_075	277	510	101	173	1	12	25	59	77	119	121	208	5	1	9	54	Lysobacter
TBS_004	59	102	1	1	29	1	1	14	1	81	1	1	1	1	4	16	Pseudomonas
TBS_028	1409	2465	4767	89	517	129	262	417	218	964	96	1	146	111	423	144	Pseudomonas
TBS_049	109	48	1	15	279	30	1	1	74	22	1	1	440	37	1	1	Pseudomonas
NA2a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Pseudomonas
NA5	120	63	1	1	371	474	1	1	152	220	1	1	494	1030	1	1	Pseudomonas
NA8	120	63	1	1	371	474	1	1	152	220	1	1	494	1030	1	1	Pseudomonas
SO8-1	1	1	1	1	1	1	1	1	67	1	1	1	368	1	1	1	Pseudomonas
