Sample.Name	Median.Number.of.Roots	Maximum.Number.of.Roots	Number.of.Root.Tips	Total.Root.Length.px	Depth.px	Maximum.Width.px	Width-to-Depth.Ratio	Network.Area.px2	Convex.Area.px2	Solidity	Lower.Root.Area.px2	Average.Diameter.px	Median.Diameter.px	Maximum.Diameter.px	Perimeter.px	Volume.px3	Surface.Area.px2	Holes	Average.Hole.Size.px2	Computation.Time.s	Average.Root.Orientation.deg	Shallow.Angle.Frequency	Medium.Angle.Frequency	Steep.Angle.Frequency	Root.Length.Diameter.Range.1.px	Root.Length.Diameter.Range.2.px	Root.Length.Diameter.Range.3.px	Projected.Area.Diameter.Range.1.px2	Projected.Area.Diameter.Range.2.px2	Projected.Area.Diameter.Range.3.px2	Surface.Area.Diameter.Range.1.px2	Surface.Area.Diameter.Range.2.px2	Surface.Area.Diameter.Range.3.px2	Volume.Diameter.Range.1.px3	Volume.Diameter.Range.2.px3	Volume.Diameter.Range.3.px3
w1-2-2-11	6	35	1996	156495.8267	3542	4170	1.177301	3918071	9737157	0.402383	3426924	72.0714	38.209946	871.215271	115697.5923	2228053011	36863033.05	638	1840.550157	1.572	44.637417	0.301669	0.382147	0.316183	846.991991	5199.697111	150449.1376	1686.327127	20089.04225	11711300.49	5297.752915	63139.68682	36794595.61	2648.876457	62642.33278	2227987720
w1-2-2-12	15	30	2091	140638.3993	2979	3578	1.201074	3390188	7529815	0.450235	2951453	60.316237	35.777088	717.400879	112526.1274	1216224260	27336300.82	481	2628.787942	1.173	43.039101	0.350144	0.327988	0.321868	805.423448	5543.615942	134289.3599	1600.361615	21493.41364	8677504.935	5027.684293	67537.60003	27263735.53	2513.842147	67234.39795	1216154512
w1-2-2-13	8	35	2026	150963.7895	3648	3468	0.950658	3724840	8454678.5	0.440566	3335022	62.971882	35.44009	764.316711	115812.9327	1544670124	30873543.8	626	1779.242812	1.434	45.624494	0.29704	0.363304	0.339655	913.849855	5299.165148	144750.7745	1824.871283	20502.7044	9804626.49	5733.002217	64439.24478	30803371.55	2866.501108	63993.76322	1544603264
w1-2-2-3	8	25	1572	104890.3374	2968	2878	0.969677	2476667	6246773.5	0.396471	2306685	57.126922	36.055511	591.259644	81283.90536	692935124.6	19246715.02	394	1541.063452	0.936	43.48752	0.353313	0.313482	0.333205	641.156421	3731.311109	100517.8699	1282.312842	14425.39884	6110298.756	4028.504604	45318.72702	19197367.79	2014.252302	44936.11606	692888174.2
w1-2-2-9	6	27	1480	111716.3906	3043	3725	1.224121	3051974	7264357.5	0.42013	2391002	70.744826	37.576588	826.946167	86681.58508	1460671250	25360054.42	401	2063.753117	1.148	42.992723	0.348479	0.346243	0.305277	555.67114	3143.563851	108017.1556	1108.513852	12181.18901	8058893.638	3482.498974	38282.38354	25318289.54	1741.249487	38070.9924	1460631438
w1-3-2-23	9	25	1375	97009.46479	3648	3058	0.838268	2468256	7716312.5	0.319875	2338217	56.194083	38.470768	452.769257	86570.91726	583897480.6	17737480.82	241	4064.564315	1.163	46.938442	0.264178	0.391445	0.344377	485.529004	3362.83297	93161.10282	966.229581	13001.80306	5631756.587	3035.499753	40846.36899	17693598.95	1517.749876	40588.11082	583855374.7
w1-3-2-26	8	31	1919	145322.5986	3575	3636	1.017063	3938820	9085933	0.433507	3610664	69.379443	40.249222	749.946655	109451.0231	1649493202	32702389.17	503	1635.244533	1.445	44.417163	0.300992	0.396621	0.302387	742.636652	4260.550791	140319.4112	1471.959595	16439.83839	10390991.9	4624.29745	51661.32515	32646103.54	2312.148725	51168.06738	1649439722
w1-3-2-27	9	29	1628	113236.8191	3141	3381	1.076409	2763829	7075642	0.390612	2473016	63.455671	40.249222	531.32666	81069.73119	922882563.2	23173326.96	431	1346.078886	1.128	43.605842	0.341679	0.328227	0.330094	700.269119	4279.249276	108257.3007	1392.881384	16564.65104	7357946.275	4375.865925	52039.38601	23116911.7	2187.932962	51758.41601	922828616.8
w1-3-2-29	16	34	2663	170417.1497	3464	3175	0.91657	4299437	8473148.5	0.507419	3871438	59.456022	35.777088	858.009338	133290.0081	1620718906	32878884.42	667	1916.763118	1.446	44.039784	0.341599	0.309013	0.349389	957.004184	5847.395595	163612.75	1909.179941	22524.74791	10440355.61	5997.865677	70791.68183	32802094.87	2998.932839	70096.81564	1620645811
w1-3-2-31	14	29	2273	134982.3989	3215	3410	1.060653	3224951	8104187.5	0.397936	2684615	56.432314	32.062439	683.953186	111560.7642	1087556467	24746904.11	421	2748.527316	1.273	45.634642	0.302204	0.352566	0.345231	803.536147	4731.913273	129446.9495	1607.072293	18210.03705	7857126.743	5048.76651	57208.51862	24684646.83	2524.383255	56593.71016	1087497349
