Sample.Name	Median.Number.of.Roots	Maximum.Number.of.Roots	Number.of.Root.Tips	Total.Root.Length.px	Depth.px	Maximum.Width.px	Width-to-Depth.Ratio	Network.Area.px2	Convex.Area.px2	Solidity	Lower.Root.Area.px2	Average.Diameter.px	Median.Diameter.px	Maximum.Diameter.px	Perimeter.px	Volume.px3	Surface.Area.px2	Holes	Average.Hole.Size.px2	Computation.Time.s	Average.Root.Orientation.deg	Shallow.Angle.Frequency	Medium.Angle.Frequency	Steep.Angle.Frequency	Root.Length.Diameter.Range.1.px	Root.Length.Diameter.Range.2.px	Root.Length.Diameter.Range.3.px	Projected.Area.Diameter.Range.1.px2	Projected.Area.Diameter.Range.2.px2	Projected.Area.Diameter.Range.3.px2	Surface.Area.Diameter.Range.1.px2	Surface.Area.Diameter.Range.2.px2	Surface.Area.Diameter.Range.3.px2	Volume.Diameter.Range.1.px3	Volume.Diameter.Range.2.px3	Volume.Diameter.Range.3.px3
d1-12-2-160	8	19	820	37803.90243	1924	2758	1.433472	638773	3301342.5	0.193489	622684	32.721677	21.260292	400.005005	43424.62479	103963765.8	3984897.594	97	1582.85567	0.527	47.630393	0.28232	0.335093	0.382587	318.592929	2035.126117	35450.18338	637.185858	7925.949744	1259818.731	2001.778411	24900.10549	3957995.71	1000.889206	24802.35715	103937962.5
d1-12-2-162	4	27	797	68666.07831	2069	3212	1.552441	2046548	3917982	0.522347	1779394	81.39989	38.626415	666.417297	52971.74362	1099219395	18320966.28	248	1296.979839	0.772	44.97524	0.319899	0.342085	0.338015	227.965512	1456.62655	66981.48625	451.931024	5598.427524	5825346.844	1419.783186	17587.97878	18301958.51	709.891593	17382.77546	1099201302
d1-12-2-164	4	23	566	56596.73791	2123	1907	0.898257	1728052	2782708.5	0.620996	1591469	79.244071	44.271889	522.137939	37862.43021	669906762.7	14580194.26	243	354.411523	0.568	46.417533	0.286706	0.369785	0.343509	228.521861	1190.58492	55177.63113	454.215295	4570.809361	4635863.14	1426.959435	14359.62111	14564407.68	713.479718	14199.14914	669891850
d1-12-2-170	6	24	1215	72888.30233	3153	3159	1.001903	1414075	4912803.5	0.287835	1360729	38.459884	28.284271	434.004608	68235.13805	203660576.8	9004560.555	319	1655.570533	0.929	45.92237	0.303921	0.354221	0.341858	420.617316	2558.022654	69909.66236	838.406204	9979.965717	2855237.115	2633.930772	31367.03661	8970559.588	1316.965386	31380.74506	203627879.1
d1-12-2-171	10	28	1288	110869.3952	2740	3865	1.410584	2708651	6974473	0.388366	1377653	60.859698	30	523.450073	92525.14215	987838284.5	21975913.41	489	1266.593047	1.1	47.101605	0.290146	0.358452	0.351402	549.700577	3093.777054	107225.9175	1093.744299	11929.52644	6981818.547	3436.099056	37495.48415	21934981.83	1718.049528	37112.00601	987799454.5
d1-13-2-201	4	18	759	36540.2043	2042	2447	1.198335	692637	2547934	0.271843	621531	39.225219	25.059929	402.124359	36406.00921	131942889.7	4627179.7	129	1047.062016	0.519	45.107122	0.29048	0.404351	0.305169	212.308658	1629.067243	34698.8284	421.788889	6288.527714	1466134.478	1325.088874	19755.99247	4606098.618	662.544437	19601.29591	131922625.9
d1-13-2-203	11	27	1447	79573.72145	2725	2915	1.069725	1413295	4620348.5	0.305885	1413295	34.40936	24.738634	368.879395	80658.41575	173000719	8771007.706	312	3051.823718	0.813	47.60909	0.282531	0.344036	0.373432	511.07316	3282.848122	75779.80016	1016.489465	12693.07338	2777863.249	3193.395837	39890.5157	8727923.794	1596.697919	39572.76615	172959549.6
d1-13-2-205	3	19	827	56456.83041	3506	3294	0.939532	1162877	6727501.5	0.172854	1067005	44.149054	27.856777	424.796417	55785.34895	224507641	7971986.454	194	1267.809278	0.933	46.889423	0.263678	0.397435	0.338887	180.894444	1606.971788	54668.96417	361.788889	6216.135851	2530876.655	1136.593315	19528.56673	7951321.294	568.296657	19390.27948	224487682.4
d1-13-2-208	6	23	1196	107901.4294	3648	2431	0.666393	2731846	6562219	0.416299	2731846	61.106146	39.293766	644.015503	79079.86669	801124813.7	21067134.75	487	960.566735	1.014	46.474272	0.305282	0.326927	0.367791	356.63456	2440.140403	105104.6545	713.269119	9446.564479	6695379.387	2240.801025	29677.25757	21035216.69	1120.400513	29498.64044	801094194.7
d1-13-2-210	7	32	1034	90661.48009	2460	2978	1.210569	2362262	4984877.5	0.473886	2150097	66.984311	37.576588	639.831238	71035.1001	981074233.7	19614439.86	393	897.147583	0.864	45.527994	0.293044	0.391776	0.31518	513.801082	2695.201369	87452.47764	1014.288455	10389.09281	6231771.823	3186.48116	32656.0692	19578597.31	1593.24058	32319.04807	981040321.4
