File.Name	Median.Number.of.Roots	Maximum.Number.of.Roots	Number.of.Root.Tips	Total.Root.Length.px	Depth.px	Maximum.Width.px	Width-to-Depth.Ratio	Network.Area.px2	Convex.Area.px2	Solidity	Lower.Root.Area.px2	Average.Diameter.px	Median.Diameter.px	Maximum.Diameter.px	Perimeter.px	Volume.px3	Surface.Area.px2	Holes	Average.Hole.Size.px2	Computation.Time.s	Average.Root.Orientation.deg	Shallow.Angle.Frequency	Medium.Angle.Frequency	Steep.Angle.Frequency	Root.Length.Diameter.Range.1.px	Root.Length.Diameter.Range.2.px	Root.Length.Diameter.Range.3.px	Projected.Area.Diameter.Range.1.px2	Projected.Area.Diameter.Range.2.px2	Projected.Area.Diameter.Range.3.px2	Surface.Area.Diameter.Range.1.px2	Surface.Area.Diameter.Range.2.px2	Surface.Area.Diameter.Range.3.px2	Volume.Diameter.Range.1.px3	Volume.Diameter.Range.2.px3	Volume.Diameter.Range.3.px3
d1-12-1-160	7	19	984	40369.74167	2127	2211	1.039492	671273	3198857	0.209848	671273	30.635297	21.540659	333.730438	43437.04355	74833287.36	3989624.299	123	1917.804878	0.571	46.842239	0.28025	0.372262	0.347488	280.693434	2101.500792	37987.54745	555.730014	8086.743539	1261186.066	1745.87733	25423.02563	3962455.397	872.938665	25165.89271	74807248.53
d1-12-1-162	1	21	666	32060.14017	2465	2477	1.004868	520387	3289573	0.158193	475259	28.704461	19.697716	233.657867	38810.39694	49060420.58	2919385.886	92	1998.652174	0.593	44.968078	0.343838	0.302416	0.353745	128.710678	1093.300649	30838.12884	257.421356	4249.999917	924651.6584	808.713042	13351.76852	2905225.405	404.356521	13334.9496	49046681.28
d1-12-1-164	4	13	457	22892.02639	1796	1913	1.065145	412950	2099018.5	0.196735	412950	31.969016	24.166092	287.123657	27056.76896	41495396.93	2335823.011	48	835.416667	0.439	47.949961	0.279307	0.331869	0.388824	82.769553	757.198052	22052.05879	165.539105	2945.71899	740404.2987	520.056437	9254.24914	2326048.706	260.028218	9223.509839	41485913.39
d1-12-1-170	9	22	946	72533.56727	2366	3725	1.574387	1787056	5435464	0.328777	1592919	57.505864	29.732138	493.323425	65638.16208	562216558.5	13331110.88	312	1870.625	0.906	45.357405	0.31327	0.35439	0.33234	447.558441	2410.863274	69675.14555	895.116882	9404.206551	4232957.655	2812.092622	29544.18621	13298754.6	1406.046311	29557.6199	562185594.9
d1-12-1-171	11	28	1238	82196.29086	2273	2274	1.00044	1502395	3480047.5	0.431717	1410827	37.567073	24.166092	390.778717	76479.84108	221817011.6	9932578.208	449	1196.899777	0.745	47.640013	0.293148	0.317143	0.389709	511.244733	3134.664356	78550.38177	1020.489465	12179.79433	3148274.25	3205.962208	38278.00201	9891094.243	1602.981104	38207.92123	221777200.7
d1-13-1-201	4	12	302	15359.49963	1576	2198	1.39467	247204	1892133	0.130648	236974	26.796052	20.099751	216.480942	19858.81701	19144833.32	1306809.937	38	430.289474	0.359	48.567254	0.243754	0.381099	0.375147	68.769553	614.91378	14675.8163	137.539105	2388.679263	413413.8961	432.091843	7504.257226	1298873.588	216.045921	7479.77268	19137137.5
d1-13-1-203	9	21	1068	65425.92449	2511	3476	1.384309	1462689	5791918.5	0.25254	1346683	50.374581	29.732138	516.18988	61697.71648	390389136.6	10651732.35	214	2316.724299	0.798	46.567661	0.299852	0.331565	0.368583	240.007143	1954.29769	63231.61965	480.014285	7579.314878	3382272.854	1508.009352	23825.16957	10626399.17	754.004676	23712.317	390364670.3
d1-13-1-205	12	30	1397	123050.5509	2613	3607	1.380406	3383381	7211882	0.46914	3089310	76.113029	34.409302	778.832458	92882.26964	1845660053	30608867.71	541	1016.042514	1.043	47.694995	0.279327	0.35106	0.369612	439.27417	2980.64502	119630.6317	875.719913	11638.09861	9730455.623	2751.155245	36562.16509	30569554.39	1375.577622	36588.7949	1845622089
d1-13-1-208	10	23	697	51735.83005	1746	2809	1.60882	1154657	3352680.5	0.344398	1154657	50.166193	28.635643	371.203461	48206.46807	233870114.2	8211243.076	193	630.766839	0.609	45.230879	0.27263	0.421073	0.306297	178.752309	1473.510893	50083.56685	357.504617	5765.934624	2607444.199	1123.13388	18114.21786	8192005.724	561.56694	18161.55342	233851391
d1-13-1-210	7	32	1016	76351.18285	2567	3178	1.238021	2325401	5722219	0.406381	1812722	75.957535	38.418747	746.728882	65737.54772	1139238878	18669669.2	235	2681.208511	0.846	44.970061	0.318198	0.344869	0.336933	298.735065	1840.327127	74212.12066	585.813275	7106.086503	5934990.48	1849.272448	22324.42915	18645495.5	924.636224	22153.82546	1139215799
