File.Name	Median.Number.of.Roots	Maximum.Number.of.Roots	Number.of.Root.Tips	Total.Root.Length.px	Depth.px	Maximum.Width.px	Width-to-Depth.Ratio	Network.Area.px2	Convex.Area.px2	Solidity	Lower.Root.Area.px2	Average.Diameter.px	Median.Diameter.px	Maximum.Diameter.px	Perimeter.px	Volume.px3	Surface.Area.px2	Holes	Average.Hole.Size.px2	Computation.Time.s	Average.Root.Orientation.deg	Shallow.Angle.Frequency	Medium.Angle.Frequency	Steep.Angle.Frequency	Root.Length.Diameter.Range.1.px	Root.Length.Diameter.Range.2.px	Root.Length.Diameter.Range.3.px	Projected.Area.Diameter.Range.1.px2	Projected.Area.Diameter.Range.2.px2	Projected.Area.Diameter.Range.3.px2	Surface.Area.Diameter.Range.1.px2	Surface.Area.Diameter.Range.2.px2	Surface.Area.Diameter.Range.3.px2	Volume.Diameter.Range.1.px3	Volume.Diameter.Range.2.px3	Volume.Diameter.Range.3.px3
w1-2-1-11	12	31	1921	139092.3357	3055	3097	1.013748	3412598	7006686.5	0.487049	3068824	63.810519	34.234486	663.291809	106250.1075	1336834800	28934538.6	550	2087.025455	1.115	45.807055	0.303975	0.347082	0.348943	794.281313	4493.450286	133804.6041	1585.734198	17366.30608	9190965.263	4981.730908	54557.85959	28874999.01	2490.865454	54085.47479	1336778224
w1-2-1-12	11	30	1787	111501.33	2775	3164	1.14018	2586523	6169690.5	0.419231	2337322	55.931186	34.058773	582.388184	88751.33234	747738877.6	20278840.16	401	2276.064838	0.996	43.93673	0.321002	0.358268	0.320729	769.967604	4108.82792	106622.5345	1539.935208	15781.29635	6437257.689	4837.849137	49606.50395	20224395.81	2418.924569	48976.46966	747687482.2
w1-2-1-13	10	37	2214	121706.3625	2764	3291	1.190666	2315630	5840447.5	0.396482	2040519	45.932998	28.284271	562.910278	93445.25816	591841982.7	18143174.76	642	1123.46729	0.988	44.411335	0.312416	0.385621	0.301963	945.974747	5876.559159	114883.8286	1886.292639	22769.80545	5750358.305	5925.963098	71533.45353	18065715.35	2962.981549	71133.88714	591767885.8
w1-2-1-3	10	28	1779	113352.547	3144	2953	0.939249	2644198	6743540	0.392108	2281548	56.224042	34.928497	535.850708	89493.977	783538723.5	20785620.76	428	2136.469626	1.018	43.869496	0.332331	0.337753	0.329916	802.293506	4468.729506	108081.524	1604.587012	17177.94687	6597019.985	5040.958769	53980.16132	20726599.64	2520.479384	53351.26419	783482851.8
w1-2-1-9	7	28	1398	106161.705	2964	3500	1.180837	2941786	7257580	0.40534	2719349	75.842362	44	740.931824	76414.56084	1523759975	26263844.49	356	1740.738764	1.117	43.090444	0.312554	0.415443	0.272003	495.943218	3270.867458	102394.8944	989.058008	12716.83032	8345946.401	3107.217372	39965.15035	26220772.12	1553.608686	39871.83698	1523718549
w1-3-1-23	9	33	2227	136519.6767	3648	3390	0.929276	3075892	8009173	0.384046	2823286	56.530759	35.777088	701.19043	109484.154	1106782555	25301113.51	469	2955.371002	1.247	45.487009	0.302056	0.364023	0.333921	874.607214	5129.400646	130515.6689	1739.557575	19792.23417	8031661.44	5464.981297	62210.95863	25233437.57	2732.490649	61697.87733	1106718125
w1-3-1-26	11	50	3232	194180.183	3648	4147	1.136787	4552673	10541292.5	0.431889	3885188	55.667784	34.525352	829.308167	145548.6687	1663408665	35061607.54	835	1652.243114	1.658	42.881367	0.343904	0.35628	0.299817	1414.207286	8410.398046	184355.5777	2817.100864	32417.60866	11124722.17	8850.183379	101842.9212	34950914.44	4425.091689	100781.5537	1663303458
w1-3-1-27	14	35	2395	150683.6681	2438	4017	1.647662	3174605	7183377	0.441938	2971748	50.802423	32.249031	598.29425	114760.7176	822187208.2	24689865.99	706	1398.532578	1.164	43.718707	0.304873	0.422091	0.273036	1128.472222	6433.573444	143121.6225	2242.802307	24784.07056	7831632.783	7045.971252	77889.55325	24604930.46	3522.985626	77064.2548	822106621
w1-3-1-29	6	42	2451	175503.4695	3648	4581	1.255757	4238880	12469100.5	0.339951	3785694	69.65888	34.409302	868.555115	125710.3175	2432856557	39991052.2	772	1042.959845	1.695	44.464753	0.302795	0.407688	0.289517	1170.371716	6654.536865	167678.5609	2331.086579	25758.26008	12701083.92	7323.32447	80936.01028	39902792.87	3661.662235	80265.3396	2432772630
w1-3-1-31	9	36	2177	142799.0419	3085	3550	1.150729	3353096	7776140	0.431203	2970046	62.120972	36	687.87207	104274.4496	1317144548	28788308.77	598	1133.692308	1.211	44.880845	0.297227	0.388239	0.314534	1062.98694	5771.664715	135964.3902	2116.317026	22407.81223	9138471.944	6648.606022	70410.26792	28711249.89	3324.303011	70116.83686	1317071107
