Sample.Name	Treatment	Water	Tier	Replica	Group
w1-2-1-11	Mock	Watered	1	1	MockWatered
w1-2-1-12	Mock	Watered	1	2	MockWatered
w1-2-1-13	Mock	Watered	1	3	MockWatered
w1-2-1-3	Mock	Watered	1	4	MockWatered
w1-2-1-9	Mock	Watered	1	5	MockWatered
w1-3-1-23	Mock	Watered	1	1	MockWatered
w1-3-1-26	Mock	Watered	1	2	MockWatered
w1-3-1-27	Mock	Watered	1	3	MockWatered
w1-3-1-29	Mock	Watered	1	4	MockWatered
w1-3-1-31	Mock	Watered	1	5	MockWatered
w1-8-1-123	SynCom	Watered	1	1	SynComWatered
w1-8-1-125	SynCom	Watered	1	2	SynComWatered
w1-8-1-126	SynCom	Watered	1	3	SynComWatered
w1-8-1-127	SynCom	Watered	1	4	SynComWatered
w1-8-1-129	SynCom	Watered	1	5	SynComWatered
w1-9-1-141	SynCom	Watered	1	1	SynComWatered
w1-9-1-142	SynCom	Watered	1	2	SynComWatered
w1-9-1-146	SynCom	Watered	1	3	SynComWatered
w1-9-1-148	SynCom	Watered	1	4	SynComWatered
w1-9-1-149	SynCom	Watered	1	5	SynComWatered
w2-2-1-14	Mock	Watered	2	1	MockWatered
w2-2-1-17	Mock	Watered	2	2	MockWatered
w2-2-1-18	Mock	Watered	2	3	MockWatered
w2-2-1-19	Mock	Watered	2	4	MockWatered
w2-2-1-20	Mock	Watered	2	5	MockWatered
w2-3-1-35	Mock	Watered	2	1	MockWatered
w2-3-1-37	Mock	Watered	2	2	MockWatered
w2-3-1-38	Mock	Watered	2	3	MockWatered
w2-3-1-39	Mock	Watered	2	4	MockWatered
w2-3-1-40	Mock	Watered	2	5	MockWatered
w2-8-1-131	SynCom	Watered	2	1	SynComWatered
w2-8-1-132	SynCom	Watered	2	2	SynComWatered
w2-8-1-133	SynCom	Watered	2	3	SynComWatered
w2-8-1-135	SynCom	Watered	2	4	SynComWatered
w2-8-1-140	SynCom	Watered	2	5	SynComWatered
w2-9-1-151	SynCom	Watered	2	1	SynComWatered
w2-9-1-152	SynCom	Watered	2	2	SynComWatered
w2-9-1-153	SynCom	Watered	2	3	SynComWatered
w2-9-1-154	SynCom	Watered	2	4	SynComWatered
w2-9-1-159	SynCom	Watered	2	5	SynComWatered
d1-12-1-160	Mock	Drought	1	1	MockDrought
d1-12-1-162	Mock	Drought	1	2	MockDrought
d1-12-1-164	Mock	Drought	1	3	MockDrought
d1-12-1-170	Mock	Drought	1	4	MockDrought
d1-12-1-171	Mock	Drought	1	5	MockDrought
d1-13-1-201	Mock	Drought	1	1	MockDrought
d1-13-1-203	Mock	Drought	1	2	MockDrought
d1-13-1-205	Mock	Drought	1	3	MockDrought
d1-13-1-208	Mock	Drought	1	4	MockDrought
d1-13-1-210	Mock	Drought	1	5	MockDrought
d1-18-1-321	SynCom	Drought	1	1	SynComDrought
d1-18-1-323	SynCom	Drought	1	2	SynComDrought
d1-18-1-326	SynCom	Drought	1	3	SynComDrought
d1-18-1-328	SynCom	Drought	1	4	SynComDrought
d1-18-1-330	SynCom	Drought	1	5	SynComDrought
d1-19-1-341	SynCom	Drought	1	1	SynComDrought
d1-19-1-344	SynCom	Drought	1	2	SynComDrought
d1-19-1-348	SynCom	Drought	1	3	SynComDrought
d1-19-1-350	SynCom	Drought	1	4	SynComDrought
d2-12-1-166	Mock	Drought	2	1	MockDrought
d2-12-1-176	Mock	Drought	2	2	MockDrought
d2-12-1-178	Mock	Drought	2	3	MockDrought
d2-12-1-200	Mock	Drought	2	4	MockDrought
d2-13-1-211	Mock	Drought	2	5	MockDrought
d2-13-1-214	Mock	Drought	2	1	MockDrought
d2-13-1-216	Mock	Drought	2	2	MockDrought
d2-13-1-218	Mock	Drought	2	3	MockDrought
d2-13-1-219	Mock	Drought	2	4	MockDrought
d2-18-1-325	SynCom	Drought	2	1	SynComDrought
d2-18-1-335	SynCom	Drought	2	2	SynComDrought
d2-18-1-337	SynCom	Drought	2	3	SynComDrought
d2-18-1-338	SynCom	Drought	2	4	SynComDrought
d2-18-1-340	SynCom	Drought	2	5	SynComDrought
d2-19-1-351	SynCom	Drought	2	1	SynComDrought
d2-19-1-354	SynCom	Drought	2	2	SynComDrought
d2-19-1-355	SynCom	Drought	2	3	SynComDrought
d2-19-1-357	SynCom	Drought	2	4	SynComDrought
d2-19-1-360	SynCom	Drought	2	5	SynComDrought
