Sample.Name	Treatment	Water	Tier	Replica	Group
w1-2-1-11	Mock	Watered	A	1	MockWatered
w1-2-1-12	Mock	Watered	A	2	MockWatered
w1-2-1-13	Mock	Watered	A	3	MockWatered
w1-2-1-3	Mock	Watered	A	4	MockWatered
w1-2-1-9	Mock	Watered	A	5	MockWatered
w1-3-1-23	Mock	Watered	A	1	MockWatered
w1-3-1-26	Mock	Watered	A	2	MockWatered
w1-3-1-27	Mock	Watered	A	3	MockWatered
w1-3-1-29	Mock	Watered	A	4	MockWatered
w1-3-1-31	Mock	Watered	A	5	MockWatered
w1-8-1-123	SynCom	Watered	A	1	SynComWatered
w1-8-1-125	SynCom	Watered	A	2	SynComWatered
w1-8-1-126	SynCom	Watered	A	3	SynComWatered
w1-8-1-127	SynCom	Watered	A	4	SynComWatered
w1-8-1-129	SynCom	Watered	A	5	SynComWatered
w1-9-1-141	SynCom	Watered	A	1	SynComWatered
w1-9-1-142	SynCom	Watered	A	2	SynComWatered
w1-9-1-146	SynCom	Watered	A	3	SynComWatered
w1-9-1-148	SynCom	Watered	A	4	SynComWatered
w1-9-1-149	SynCom	Watered	A	5	SynComWatered
w2-2-1-14	Mock	Watered	B	1	MockWatered
w2-2-1-17	Mock	Watered	B	2	MockWatered
w2-2-1-18	Mock	Watered	B	3	MockWatered
w2-2-1-19	Mock	Watered	B	4	MockWatered
w2-2-1-20	Mock	Watered	B	5	MockWatered
w2-3-1-35	Mock	Watered	B	1	MockWatered
w2-3-1-37	Mock	Watered	B	2	MockWatered
w2-3-1-38	Mock	Watered	B	3	MockWatered
w2-3-1-39	Mock	Watered	B	4	MockWatered
w2-3-1-40	Mock	Watered	B	5	MockWatered
w2-8-1-131	SynCom	Watered	B	1	SynComWatered
w2-8-1-132	SynCom	Watered	B	2	SynComWatered
w2-8-1-133	SynCom	Watered	B	3	SynComWatered
w2-8-1-135	SynCom	Watered	B	4	SynComWatered
w2-8-1-140	SynCom	Watered	B	5	SynComWatered
w2-9-1-151	SynCom	Watered	B	1	SynComWatered
w2-9-1-152	SynCom	Watered	B	2	SynComWatered
w2-9-1-153	SynCom	Watered	B	3	SynComWatered
w2-9-1-154	SynCom	Watered	B	4	SynComWatered
w2-9-1-159	SynCom	Watered	B	5	SynComWatered
