Sample.Name	Treatment	Water	Tier	Replica	Group
w1-2-2-11	Mock	Watered	1	1	MockWatered
w1-2-2-12	Mock	Watered	1	2	MockWatered
w1-2-2-13	Mock	Watered	1	3	MockWatered
w1-2-2-3	Mock	Watered	1	4	MockWatered
w1-2-2-9	Mock	Watered	1	5	MockWatered
w1-3-2-23	Mock	Watered	1	1	MockWatered
w1-3-2-26	Mock	Watered	1	2	MockWatered
w1-3-2-27	Mock	Watered	1	3	MockWatered
w1-3-2-29	Mock	Watered	1	4	MockWatered
w1-3-2-31	Mock	Watered	1	5	MockWatered
w1-8-2-123	SynCom	Watered	1	1	SynComWatered
w1-8-2-125	SynCom	Watered	1	2	SynComWatered
w1-8-2-126	SynCom	Watered	1	3	SynComWatered
w1-8-2-127	SynCom	Watered	1	4	SynComWatered
w1-8-2-129	SynCom	Watered	1	5	SynComWatered
w1-9-2-141	SynCom	Watered	1	1	SynComWatered
w1-9-2-142	SynCom	Watered	1	2	SynComWatered
w1-9-2-146	SynCom	Watered	1	3	SynComWatered
w1-9-2-148	SynCom	Watered	1	4	SynComWatered
w1-9-2-149	SynCom	Watered	1	5	SynComWatered
w2-2-2-14	Mock	Watered	2	1	MockWatered
w2-2-2-17	Mock	Watered	2	2	MockWatered
w2-2-2-18	Mock	Watered	2	3	MockWatered
w2-2-2-19	Mock	Watered	2	4	MockWatered
w2-2-2-20	Mock	Watered	2	5	MockWatered
w2-3-2-35	Mock	Watered	2	1	MockWatered
w2-3-2-37	Mock	Watered	2	2	MockWatered
w2-3-2-38	Mock	Watered	2	3	MockWatered
w2-3-2-39	Mock	Watered	2	4	MockWatered
w2-3-2-40	Mock	Watered	2	5	MockWatered
w2-8-2-131	SynCom	Watered	2	1	SynComWatered
w2-8-2-132	SynCom	Watered	2	2	SynComWatered
w2-8-2-133	SynCom	Watered	2	3	SynComWatered
w2-8-2-135	SynCom	Watered	2	4	SynComWatered
w2-8-2-140	SynCom	Watered	2	5	SynComWatered
w2-9-2-151	SynCom	Watered	2	1	SynComWatered
w2-9-2-152	SynCom	Watered	2	2	SynComWatered
w2-9-2-153	SynCom	Watered	2	3	SynComWatered
w2-9-2-154	SynCom	Watered	2	4	SynComWatered
w2-9-2-159	SynCom	Watered	2	5	SynComWatered
d1-12-2-160	Mock	Drought	1	1	MockDrought
d1-12-2-162	Mock	Drought	1	2	MockDrought
d1-12-2-164	Mock	Drought	1	3	MockDrought
d1-12-2-170	Mock	Drought	1	4	MockDrought
d1-12-2-171	Mock	Drought	1	5	MockDrought
d1-13-2-201	Mock	Drought	1	1	MockDrought
d1-13-2-203	Mock	Drought	1	2	MockDrought
d1-13-2-205	Mock	Drought	1	3	MockDrought
d1-13-2-208	Mock	Drought	1	4	MockDrought
d1-13-2-210	Mock	Drought	1	5	MockDrought
d1-18-2-313	SynCom	Drought	1	1	SynComDrought
d1-18-2-321	SynCom	Drought	1	2	SynComDrought
d1-18-2-323	SynCom	Drought	1	3	SynComDrought
d1-18-2-326	SynCom	Drought	1	4	SynComDrought
d1-18-2-328	SynCom	Drought	1	5	SynComDrought
d1-19-2-341	SynCom	Drought	1	1	SynComDrought
d1-19-2-344	SynCom	Drought	1	2	SynComDrought
d1-19-2-346	SynCom	Drought	1	3	SynComDrought
d1-19-2-348	SynCom	Drought	1	4	SynComDrought
d1-19-2-350	SynCom	Drought	1	5	SynComDrought
d2-12-2-166	Mock	Drought	2	1	MockDrought
d2-12-2-175	Mock	Drought	2	2	MockDrought
d2-12-2-176	Mock	Drought	2	3	MockDrought
d2-12-2-178	Mock	Drought	2	4	MockDrought
d2-12-2-200	Mock	Drought	2	5	MockDrought
d2-13-2-211	Mock	Drought	2	1	MockDrought
d2-13-2-214	Mock	Drought	2	2	MockDrought
d2-13-2-216	Mock	Drought	2	3	MockDrought
d2-13-2-218	Mock	Drought	2	4	MockDrought
d2-13-2-219	Mock	Drought	2	5	MockDrought
d2-18-2-325	SynCom	Drought	2	1	SynComDrought
d2-18-2-335	SynCom	Drought	2	2	SynComDrought
d2-18-2-337	SynCom	Drought	2	3	SynComDrought
d2-18-2-338	SynCom	Drought	2	4	SynComDrought
d2-18-2-340	SynCom	Drought	2	5	SynComDrought
d2-19-2-351	SynCom	Drought	2	1	SynComDrought
d2-19-2-354	SynCom	Drought	2	2	SynComDrought
d2-19-2-355	SynCom	Drought	2	3	SynComDrought
d2-19-2-357	SynCom	Drought	2	4	SynComDrought
d2-19-2-360	SynCom	Drought	2	5	SynComDrought
