Sample.Name	Treatment	Water	Tier	Replica	Group
d1-12-2-160	Mock	Drought	A	1	MockDrought
d1-12-2-162	Mock	Drought	A	2	MockDrought
d1-12-2-164	Mock	Drought	A	3	MockDrought
d1-12-2-170	Mock	Drought	A	4	MockDrought
d1-12-2-171	Mock	Drought	A	5	MockDrought
d1-13-2-201	Mock	Drought	A	1	MockDrought
d1-13-2-203	Mock	Drought	A	2	MockDrought
d1-13-2-205	Mock	Drought	A	3	MockDrought
d1-13-2-208	Mock	Drought	A	4	MockDrought
d1-13-2-210	Mock	Drought	A	5	MockDrought
d1-18-2-313	SynCom	Drought	A	1	SynComDrought
d1-18-2-321	SynCom	Drought	A	2	SynComDrought
d1-18-2-323	SynCom	Drought	A	3	SynComDrought
d1-18-2-326	SynCom	Drought	A	4	SynComDrought
d1-18-2-328	SynCom	Drought	A	5	SynComDrought
d1-19-2-341	SynCom	Drought	A	1	SynComDrought
d1-19-2-344	SynCom	Drought	A	2	SynComDrought
d1-19-2-346	SynCom	Drought	A	3	SynComDrought
d1-19-2-348	SynCom	Drought	A	4	SynComDrought
d1-19-2-350	SynCom	Drought	A	5	SynComDrought
d2-12-2-166	Mock	Drought	B	1	MockDrought
d2-12-2-175	Mock	Drought	B	2	MockDrought
d2-12-2-176	Mock	Drought	B	3	MockDrought
d2-12-2-178	Mock	Drought	B	4	MockDrought
d2-12-2-200	Mock	Drought	B	5	MockDrought
d2-13-2-211	Mock	Drought	B	1	MockDrought
d2-13-2-214	Mock	Drought	B	2	MockDrought
d2-13-2-216	Mock	Drought	B	3	MockDrought
d2-13-2-218	Mock	Drought	B	4	MockDrought
d2-13-2-219	Mock	Drought	B	5	MockDrought
d2-18-2-325	SynCom	Drought	B	1	SynComDrought
d2-18-2-335	SynCom	Drought	B	2	SynComDrought
d2-18-2-337	SynCom	Drought	B	3	SynComDrought
d2-18-2-338	SynCom	Drought	B	4	SynComDrought
d2-18-2-340	SynCom	Drought	B	5	SynComDrought
d2-19-2-351	SynCom	Drought	B	1	SynComDrought
d2-19-2-354	SynCom	Drought	B	2	SynComDrought
d2-19-2-355	SynCom	Drought	B	3	SynComDrought
d2-19-2-357	SynCom	Drought	B	4	SynComDrought
d2-19-2-360	SynCom	Drought	B	5	SynComDrought
