Sample.Name	Treatment	Water	Tier	Replica	Group
w1-2-2-11	Mock	Watered	A	1	MockWatered
w1-2-2-12	Mock	Watered	A	2	MockWatered
w1-2-2-13	Mock	Watered	A	3	MockWatered
w1-2-2-3	Mock	Watered	A	4	MockWatered
w1-2-2-9	Mock	Watered	A	5	MockWatered
w1-3-2-23	Mock	Watered	A	1	MockWatered
w1-3-2-26	Mock	Watered	A	2	MockWatered
w1-3-2-27	Mock	Watered	A	3	MockWatered
w1-3-2-29	Mock	Watered	A	4	MockWatered
w1-3-2-31	Mock	Watered	A	5	MockWatered
w1-8-2-123	SynCom	Watered	A	1	SynComWatered
w1-8-2-125	SynCom	Watered	A	2	SynComWatered
w1-8-2-126	SynCom	Watered	A	3	SynComWatered
w1-8-2-127	SynCom	Watered	A	4	SynComWatered
w1-8-2-129	SynCom	Watered	A	5	SynComWatered
w1-9-2-141	SynCom	Watered	A	1	SynComWatered
w1-9-2-142	SynCom	Watered	A	2	SynComWatered
w1-9-2-146	SynCom	Watered	A	3	SynComWatered
w1-9-2-148	SynCom	Watered	A	4	SynComWatered
w1-9-2-149	SynCom	Watered	A	5	SynComWatered
w2-2-2-14	Mock	Watered	B	1	MockWatered
w2-2-2-17	Mock	Watered	B	2	MockWatered
w2-2-2-18	Mock	Watered	B	3	MockWatered
w2-2-2-19	Mock	Watered	B	4	MockWatered
w2-2-2-20	Mock	Watered	B	5	MockWatered
w2-3-2-35	Mock	Watered	B	1	MockWatered
w2-3-2-37	Mock	Watered	B	2	MockWatered
w2-3-2-38	Mock	Watered	B	3	MockWatered
w2-3-2-39	Mock	Watered	B	4	MockWatered
w2-3-2-40	Mock	Watered	B	5	MockWatered
w2-8-2-131	SynCom	Watered	B	1	SynComWatered
w2-8-2-132	SynCom	Watered	B	2	SynComWatered
w2-8-2-133	SynCom	Watered	B	3	SynComWatered
w2-8-2-135	SynCom	Watered	B	4	SynComWatered
w2-8-2-140	SynCom	Watered	B	5	SynComWatered
w2-9-2-151	SynCom	Watered	B	1	SynComWatered
w2-9-2-152	SynCom	Watered	B	2	SynComWatered
w2-9-2-153	SynCom	Watered	B	3	SynComWatered
w2-9-2-154	SynCom	Watered	B	4	SynComWatered
w2-9-2-159	SynCom	Watered	B	5	SynComWatered
