SampleID	Treatment	WaterMedia	SampletypeWeek	BoxDilution	Replica	Group	SampleWater
NB_W_1	Mock	Watered	Root	A	1	Mock.Water.R	Watered_R
NB_W_2	Mock	Watered	Root	A	2	Mock.Water.R	Watered_R
NB_W_3	Mock	Watered	Root	A	3	Mock.Water.R	Watered_R
NB_W_4	Mock	Watered	Root	A	4	Mock.Water.R	Watered_R
NB_W_5	Mock	Watered	Root	B	5	Mock.Water.R	Watered_R
NB_W_6	Mock	Watered	Root	B	6	Mock.Water.R	Watered_R
NB_W_7	Mock	Watered	Root	B	7	Mock.Water.R	Watered_R
NB_W_8	Mock	Watered	Root	B	8	Mock.Water.R	Watered_R
NB_W_9	Mock	Watered	Root	C	9	Mock.Water.R	Watered_R
NB_W_10	Mock	Watered	Root	C	10	Mock.Water.R	Watered_R
NB_W_11	Mock	Watered	Root	C	11	Mock.Water.R	Watered_R
NB_W_12	Mock	Watered	Root	C	12	Mock.Water.R	Watered_R
NB_W_13	Mock	Watered	Root	D	13	Mock.Water.R	Watered_R
NB_W_14	Mock	Watered	Root	D	14	Mock.Water.R	Watered_R
NB_W_15	Mock	Watered	Root	D	15	Mock.Water.R	Watered_R
NB_W_16	Mock	Watered	Root	D	16	Mock.Water.R	Watered_R
NB_W_17	Mock	Watered	Root	E	17	Mock.Water.R	Watered_R
NB_W_18	Mock	Watered	Root	E	18	Mock.Water.R	Watered_R
NB_W_19	Mock	Watered	Root	E	19	Mock.Water.R	Watered_R
NB_W_20	Mock	Watered	Root	E	20	Mock.Water.R	Watered_R
SymCom_W_1	SynCom	Watered	Root	A	1	SynCom.Water.R	Watered_R
SymCom_W_2	SynCom	Watered	Root	A	2	SynCom.Water.R	Watered_R
SymCom_W_3	SynCom	Watered	Root	A	3	SynCom.Water.R	Watered_R
SymCom_W_4	SynCom	Watered	Root	A	4	SynCom.Water.R	Watered_R
SymCom_W_5	SynCom	Watered	Root	B	5	SynCom.Water.R	Watered_R
SymCom_W_6	SynCom	Watered	Root	B	6	SynCom.Water.R	Watered_R
SymCom_W_7	SynCom	Watered	Root	B	7	SynCom.Water.R	Watered_R
SymCom_W_8	SynCom	Watered	Root	B	8	SynCom.Water.R	Watered_R
SymCom_W_9	SynCom	Watered	Root	C	9	SynCom.Water.R	Watered_R
SymCom_W_10	SynCom	Watered	Root	C	10	SynCom.Water.R	Watered_R
SymCom_W_11	SynCom	Watered	Root	C	11	SynCom.Water.R	Watered_R
SymCom_W_12	SynCom	Watered	Root	C	12	SynCom.Water.R	Watered_R
SymCom_W_13	SynCom	Watered	Root	D	13	SynCom.Water.R	Watered_R
SymCom_W_14	SynCom	Watered	Root	D	14	SynCom.Water.R	Watered_R
SymCom_W_15	SynCom	Watered	Root	D	15	SynCom.Water.R	Watered_R
SymCom_W_16	SynCom	Watered	Root	D	16	SynCom.Water.R	Watered_R
SymCom_W_18	SynCom	Watered	Root	E	18	SynCom.Water.R	Watered_R
SymCom_W_19	SynCom	Watered	Root	E	19	SynCom.Water.R	Watered_R
SymCom_W_20	SynCom	Watered	Root	E	20	SynCom.Water.R	Watered_R
NB_D_1	Mock	Drought	Root	A	1	Mock.Drought.R	Drought_R
NB_D_2	Mock	Drought	Root	A	2	Mock.Drought.R	Drought_R
NB_D_3	Mock	Drought	Root	A	3	Mock.Drought.R	Drought_R
NB_D_4	Mock	Drought	Root	A	4	Mock.Drought.R	Drought_R
NB_D_5	Mock	Drought	Root	B	5	Mock.Drought.R	Drought_R
NB_D_6	Mock	Drought	Root	B	6	Mock.Drought.R	Drought_R
NB_D_7	Mock	Drought	Root	B	7	Mock.Drought.R	Drought_R
NB_D_8	Mock	Drought	Root	B	8	Mock.Drought.R	Drought_R
NB_D_9	Mock	Drought	Root	C	9	Mock.Drought.R	Drought_R
NB_D_10	Mock	Drought	Root	C	10	Mock.Drought.R	Drought_R
NB_D_11	Mock	Drought	Root	C	11	Mock.Drought.R	Drought_R
NB_D_12	Mock	Drought	Root	C	12	Mock.Drought.R	Drought_R
NB_D_13	Mock	Drought	Root	D	13	Mock.Drought.R	Drought_R
NB_D_14	Mock	Drought	Root	D	14	Mock.Drought.R	Drought_R
NB_D_15	Mock	Drought	Root	D	15	Mock.Drought.R	Drought_R
NB_D_16	Mock	Drought	Root	D	16	Mock.Drought.R	Drought_R
NB_D_17	Mock	Drought	Root	E	17	Mock.Drought.R	Drought_R
NB_D_18	Mock	Drought	Root	E	18	Mock.Drought.R	Drought_R
SymCom_D_1	SynCom	Drought	Root	A	1	SynCom.Drought.R	Drought_R
SymCom_D_2	SynCom	Drought	Root	A	2	SynCom.Drought.R	Drought_R
SymCom_D_3	SynCom	Drought	Root	A	3	SynCom.Drought.R	Drought_R
SymCom_D_4	SynCom	Drought	Root	A	4	SynCom.Drought.R	Drought_R
SymCom_D_5	SynCom	Drought	Root	B	5	SynCom.Drought.R	Drought_R
SymCom_D_6	SynCom	Drought	Root	B	6	SynCom.Drought.R	Drought_R
SymCom_D_7	SynCom	Drought	Root	B	7	SynCom.Drought.R	Drought_R
SymCom_D_8	SynCom	Drought	Root	B	8	SynCom.Drought.R	Drought_R
SymCom_D_9	SynCom	Drought	Root	C	9	SynCom.Drought.R	Drought_R
SymCom_D_10	SynCom	Drought	Root	C	10	SynCom.Drought.R	Drought_R
SymCom_D_11	SynCom	Drought	Root	C	11	SynCom.Drought.R	Drought_R
SymCom_D_12	SynCom	Drought	Root	C	12	SynCom.Drought.R	Drought_R
SymCom_D_13	SynCom	Drought	Root	D	13	SynCom.Drought.R	Drought_R
SymCom_D_14	SynCom	Drought	Root	D	14	SynCom.Drought.R	Drought_R
SymCom_D_15	SynCom	Drought	Root	D	15	SynCom.Drought.R	Drought_R
SymCom_D_16	SynCom	Drought	Root	D	16	SynCom.Drought.R	Drought_R
SymCom_D_17	SynCom	Drought	Root	E	17	SynCom.Drought.R	Drought_R
SymCom_D_18	SynCom	Drought	Root	E	18	SynCom.Drought.R	Drought_R
SymCom_D_19	SynCom	Drought	Root	E	19	SynCom.Drought.R	Drought_R
SymCom_D_20	SynCom	Drought	Root	E	20	SynCom.Drought.R	Drought_R
NB_WRh_1	Mock	Watered	Rhizosphere	A	1	Mock.Water.Rh	Watered_Rh
NB_WRh_2	Mock	Watered	Rhizosphere	A	2	Mock.Water.Rh	Watered_Rh
NB_WRh_3	Mock	Watered	Rhizosphere	A	3	Mock.Water.Rh	Watered_Rh
NB_WRh_4	Mock	Watered	Rhizosphere	A	4	Mock.Water.Rh	Watered_Rh
NB_WRh_5	Mock	Watered	Rhizosphere	B	5	Mock.Water.Rh	Watered_Rh
NB_WRh_6	Mock	Watered	Rhizosphere	B	6	Mock.Water.Rh	Watered_Rh
NB_WRh_7	Mock	Watered	Rhizosphere	B	7	Mock.Water.Rh	Watered_Rh
NB_WRh_8	Mock	Watered	Rhizosphere	B	8	Mock.Water.Rh	Watered_Rh
NB_WRh_9	Mock	Watered	Rhizosphere	C	9	Mock.Water.Rh	Watered_Rh
NB_WRh_10	Mock	Watered	Rhizosphere	C	10	Mock.Water.Rh	Watered_Rh
NB_WRh_11	Mock	Watered	Rhizosphere	C	11	Mock.Water.Rh	Watered_Rh
NB_WRh_12	Mock	Watered	Rhizosphere	C	12	Mock.Water.Rh	Watered_Rh
NB_WRh_13	Mock	Watered	Rhizosphere	D	13	Mock.Water.Rh	Watered_Rh
NB_WRh_14	Mock	Watered	Rhizosphere	D	14	Mock.Water.Rh	Watered_Rh
NB_WRh_15	Mock	Watered	Rhizosphere	D	15	Mock.Water.Rh	Watered_Rh
NB_WRh_16	Mock	Watered	Rhizosphere	D	16	Mock.Water.Rh	Watered_Rh
NB_WRh_17	Mock	Watered	Rhizosphere	E	17	Mock.Water.Rh	Watered_Rh
NB_WRh_18	Mock	Watered	Rhizosphere	E	18	Mock.Water.Rh	Watered_Rh
NB_WRh_19	Mock	Watered	Rhizosphere	E	19	Mock.Water.Rh	Watered_Rh
NB_WRh_20	Mock	Watered	Rhizosphere	E	20	Mock.Water.Rh	Watered_Rh
SymCom_WRh_1	SynCom	Watered	Rhizosphere	A	1	SynCom.Water.Rh	Watered_Rh
SymCom_WRh_2	SynCom	Watered	Rhizosphere	A	2	SynCom.Water.Rh	Watered_Rh
SymCom_WRh_3	SynCom	Watered	Rhizosphere	A	3	SynCom.Water.Rh	Watered_Rh
SymCom_WRh_4	SynCom	Watered	Rhizosphere	A	4	SynCom.Water.Rh	Watered_Rh
SymCom_WRh_5	SynCom	Watered	Rhizosphere	B	5	SynCom.Water.Rh	Watered_Rh
SymCom_WRh_6	SynCom	Watered	Rhizosphere	B	6	SynCom.Water.Rh	Watered_Rh
SymCom_WRh_7	SynCom	Watered	Rhizosphere	B	7	SynCom.Water.Rh	Watered_Rh
SymCom_WRh_8	SynCom	Watered	Rhizosphere	B	8	SynCom.Water.Rh	Watered_Rh
SymCom_WRh_9	SynCom	Watered	Rhizosphere	C	9	SynCom.Water.Rh	Watered_Rh
