SampleID	Experiment	Treatment	Water	Sampletype	Inoculation	Replica	Block	Row	Group	GroupNum	SampleWater
w1_2_1_11_R	Field	Mock	Watered	Root	I1	1	1	2	Mock_Watered_R_I1	1	Watered_R
w1_2_1_12_R	Field	Mock	Watered	Root	I1	2	1	2	Mock_Watered_R_I1	1	Watered_R
w1_2_1_13_R	Field	Mock	Watered	Root	I1	3	1	2	Mock_Watered_R_I1	1	Watered_R
w1_2_1_3_R	Field	Mock	Watered	Root	I1	4	1	2	Mock_Watered_R_I1	1	Watered_R
w1_2_1_9_R	Field	Mock	Watered	Root	I1	5	1	2	Mock_Watered_R_I1	1	Watered_R
w1_3_1_23_R	Field	Mock	Watered	Root	I1	6	1	3	Mock_Watered_R_I1	1	Watered_R
w1_3_1_26_R	Field	Mock	Watered	Root	I1	7	1	3	Mock_Watered_R_I1	1	Watered_R
w1_3_1_27_R	Field	Mock	Watered	Root	I1	8	1	3	Mock_Watered_R_I1	1	Watered_R
w1_3_1_29_R	Field	Mock	Watered	Root	I1	9	1	3	Mock_Watered_R_I1	1	Watered_R
w1_3_1_31_R	Field	Mock	Watered	Root	I1	10	1	3	Mock_Watered_R_I1	1	Watered_R
w2_2_1_14_R	Field	Mock	Watered	Root	I1	11	2	2	Mock_Watered_R_I1	1	Watered_R
w2_2_1_17_R	Field	Mock	Watered	Root	I1	12	2	2	Mock_Watered_R_I1	1	Watered_R
w2_2_1_18_R	Field	Mock	Watered	Root	I1	13	2	2	Mock_Watered_R_I1	1	Watered_R
w2_2_1_19_R	Field	Mock	Watered	Root	I1	14	2	2	Mock_Watered_R_I1	1	Watered_R
w2_2_1_20_R	Field	Mock	Watered	Root	I1	15	2	2	Mock_Watered_R_I1	1	Watered_R
w2_3_1_35_R	Field	Mock	Watered	Root	I1	16	2	3	Mock_Watered_R_I1	1	Watered_R
w2_3_1_37_R	Field	Mock	Watered	Root	I1	17	2	3	Mock_Watered_R_I1	1	Watered_R
w2_3_1_38_R	Field	Mock	Watered	Root	I1	18	2	3	Mock_Watered_R_I1	1	Watered_R
w2_3_1_39_R	Field	Mock	Watered	Root	I1	19	2	3	Mock_Watered_R_I1	1	Watered_R
w2_3_1_40_R	Field	Mock	Watered	Root	I1	20	2	3	Mock_Watered_R_I1	1	Watered_R
w1_8_1_123_R	Field	SynCom	Watered	Root	I1	1	1	8	SynCom_Watered_R_I1	2	Watered_R
w1_8_1_125_R	Field	SynCom	Watered	Root	I1	2	1	8	SynCom_Watered_R_I1	2	Watered_R
w1_8_1_126_R	Field	SynCom	Watered	Root	I1	3	1	8	SynCom_Watered_R_I1	2	Watered_R
w1_8_1_127_R	Field	SynCom	Watered	Root	I1	4	1	8	SynCom_Watered_R_I1	2	Watered_R
w1_8_1_129_R	Field	SynCom	Watered	Root	I1	5	1	8	SynCom_Watered_R_I1	2	Watered_R
w1_9_1_141_R	Field	SynCom	Watered	Root	I1	6	1	9	SynCom_Watered_R_I1	2	Watered_R
w1_9_1_142_R	Field	SynCom	Watered	Root	I1	7	1	9	SynCom_Watered_R_I1	2	Watered_R
w1_9_1_146_R	Field	SynCom	Watered	Root	I1	8	1	9	SynCom_Watered_R_I1	2	Watered_R
w1_9_1_148_R	Field	SynCom	Watered	Root	I1	9	1	9	SynCom_Watered_R_I1	2	Watered_R
w1_9_1_149_R	Field	SynCom	Watered	Root	I1	10	1	9	SynCom_Watered_R_I1	2	Watered_R
w2_8_1_131_R	Field	SynCom	Watered	Root	I1	11	2	8	SynCom_Watered_R_I1	2	Watered_R
w2_8_1_159_R	Field	SynCom	Watered	Root	I1	12	2	8	SynCom_Watered_R_I1	2	Watered_R
w2_8_1_133_R	Field	SynCom	Watered	Root	I1	13	2	8	SynCom_Watered_R_I1	2	Watered_R
w2_8_1_135_R	Field	SynCom	Watered	Root	I1	14	2	8	SynCom_Watered_R_I1	2	Watered_R
w2_8_1_140_R	Field	SynCom	Watered	Root	I1	15	2	8	SynCom_Watered_R_I1	2	Watered_R
w2_9_1_151_R	Field	SynCom	Watered	Root	I1	16	2	9	SynCom_Watered_R_I1	2	Watered_R
w2_9_1_152_R	Field	SynCom	Watered	Root	I1	17	2	9	SynCom_Watered_R_I1	2	Watered_R
w2_9_1_153_R	Field	SynCom	Watered	Root	I1	18	2	9	SynCom_Watered_R_I1	2	Watered_R
w2_9_1_154_R	Field	SynCom	Watered	Root	I1	19	2	9	SynCom_Watered_R_I1	2	Watered_R
w2_9_1_132_R	Field	SynCom	Watered	Root	I1	20	2	9	SynCom_Watered_R_I1	2	Watered_R
d1_12_1_160_R	Field	Mock	Drought	Root	I1	1	1	2	Mock_Drought_R_I1	3	Drought_R
d1_12_1_162_R	Field	Mock	Drought	Root	I1	2	1	2	Mock_Drought_R_I1	3	Drought_R
d1_12_1_164_R	Field	Mock	Drought	Root	I1	3	1	2	Mock_Drought_R_I1	3	Drought_R
d1_12_1_170_R	Field	Mock	Drought	Root	I1	4	1	2	Mock_Drought_R_I1	3	Drought_R
d1_12_1_171_R	Field	Mock	Drought	Root	I1	5	1	2	Mock_Drought_R_I1	3	Drought_R
d1_13_1_201_R	Field	Mock	Drought	Root	I1	6	1	3	Mock_Drought_R_I1	3	Drought_R
d1_13_1_203_R	Field	Mock	Drought	Root	I1	7	1	3	Mock_Drought_R_I1	3	Drought_R
d1_13_1_205_R	Field	Mock	Drought	Root	I1	8	1	3	Mock_Drought_R_I1	3	Drought_R
d1_13_1_208_R	Field	Mock	Drought	Root	I1	9	1	3	Mock_Drought_R_I1	3	Drought_R
d1_13_1_210_R	Field	Mock	Drought	Root	I1	10	1	3	Mock_Drought_R_I1	3	Drought_R
d2_12_1_166_R	Field	Mock	Drought	Root	I1	11	2	2	Mock_Drought_R_I1	3	Drought_R
d2_12_1_175_R	Field	Mock	Drought	Root	I1	12	2	2	Mock_Drought_R_I1	3	Drought_R
d2_12_1_176_R	Field	Mock	Drought	Root	I1	13	2	2	Mock_Drought_R_I1	3	Drought_R
d2_12_1_178_R	Field	Mock	Drought	Root	I1	14	2	2	Mock_Drought_R_I1	3	Drought_R
d2_12_1_200_R	Field	Mock	Drought	Root	I1	15	2	2	Mock_Drought_R_I1	3	Drought_R
d2_13_1_211_R	Field	Mock	Drought	Root	I1	16	2	3	Mock_Drought_R_I1	3	Drought_R
d2_13_1_214_R	Field	Mock	Drought	Root	I1	17	2	3	Mock_Drought_R_I1	3	Drought_R
d2_13_1_216_R	Field	Mock	Drought	Root	I1	18	2	3	Mock_Drought_R_I1	3	Drought_R
