SampleID	Experiment	Treatment	WaterMedia	SampletypeWeek	BoxDilutionInoculation	Replica	Tier	Row	Group	SampleWater
d1_12_1_160_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	1	A	2	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_12_1_162_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	2	A	2	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_12_1_164_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	3	A	2	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_12_1_170_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	4	A	2	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_12_1_171_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	5	A	2	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_13_1_201_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	6	A	3	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_13_1_203_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	7	A	3	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_13_1_205_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	8	A	3	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_13_1_208_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	9	A	3	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_13_1_210_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	10	A	3	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_12_1_166_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	11	B	2	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_12_1_175_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	12	B	2	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_12_1_176_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	13	B	2	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_12_1_178_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	14	B	2	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_12_1_200_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	15	B	2	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_13_1_211_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	16	B	3	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_13_1_214_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	17	B	3	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_13_1_216_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	18	B	3	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_13_1_218_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	19	B	3	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_13_1_219_Rh	Field	Mock_I1	Drought	Rhizosphere	I1	20	A	3	NB_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_18_1_321_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	1	A	8	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_18_1_323_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	2	A	8	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_18_1_326_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	3	A	8	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_18_1_328_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	4	A	8	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_18_1_330_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	5	A	8	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_19_1_341_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	6	A	9	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_19_1_344_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	7	A	9	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_19_1_346_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	8	A	9	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_19_1_348_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	9	A	9	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d1_19_1_350_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	10	B	9	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_18_1_325_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	11	B	8	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_18_1_335_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	12	B	8	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_18_1_337_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	13	B	8	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_18_1_338_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	14	B	8	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_18_1_340_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	15	B	8	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_19_1_351_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	16	B	9	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_19_1_354_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	17	B	9	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_19_1_355_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	18	B	9	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_19_1_357_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	19	B	9	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
d2_19_1_360_Rh	Field	SynCom_I1	Drought	Rhizosphere	I1	20	B	9	SynCom_Drought_Rhizosphere_I1	Drought_Rhizosphere
