SampleID	Experiment	Treatment	WaterMedia	SampletypeWeek	BoxDilutionInoculation	Replica	Tier	Row	Group	SampleWater
w1_2_2_11_R	Field	Mock_I2	Watered	Root	I2	1	A	2	NB_Watered_Root_I2	Watered_Root
w1_2_2_12_R	Field	Mock_I2	Watered	Root	I2	2	A	2	NB_Watered_Root_I2	Watered_Root
w1_2_2_13_R	Field	Mock_I2	Watered	Root	I2	3	A	2	NB_Watered_Root_I2	Watered_Root
w1_2_2_3_R	Field	Mock_I2	Watered	Root	I2	4	A	2	NB_Watered_Root_I2	Watered_Root
w1_2_2_9_R	Field	Mock_I2	Watered	Root	I2	5	A	2	NB_Watered_Root_I2	Watered_Root
w1_3_2_23_R	Field	Mock_I2	Watered	Root	I2	6	A	3	NB_Watered_Root_I2	Watered_Root
w1_3_2_26_R	Field	Mock_I2	Watered	Root	I2	7	A	3	NB_Watered_Root_I2	Watered_Root
w1_3_2_27_R	Field	Mock_I2	Watered	Root	I2	8	A	3	NB_Watered_Root_I2	Watered_Root
w1_3_2_29_R	Field	Mock_I2	Watered	Root	I2	9	A	3	NB_Watered_Root_I2	Watered_Root
w1_3_2_31_R	Field	Mock_I2	Watered	Root	I2	10	A	3	NB_Watered_Root_I2	Watered_Root
w2_2_2_14_R	Field	Mock_I2	Watered	Root	I2	11	B	2	NB_Watered_Root_I2	Watered_Root
w2_2_2_17_R	Field	Mock_I2	Watered	Root	I2	12	B	2	NB_Watered_Root_I2	Watered_Root
w2_2_2_18_R	Field	Mock_I2	Watered	Root	I2	13	B	2	NB_Watered_Root_I2	Watered_Root
w2_2_2_19_R	Field	Mock_I2	Watered	Root	I2	14	B	2	NB_Watered_Root_I2	Watered_Root
w2_2_2_20_R	Field	Mock_I2	Watered	Root	I2	15	B	2	NB_Watered_Root_I2	Watered_Root
w2_3_2_35_R	Field	Mock_I2	Watered	Root	I2	16	B	3	NB_Watered_Root_I2	Watered_Root
w2_3_2_37_R	Field	Mock_I2	Watered	Root	I2	17	B	3	NB_Watered_Root_I2	Watered_Root
w2_3_2_38_R	Field	Mock_I2	Watered	Root	I2	18	B	3	NB_Watered_Root_I2	Watered_Root
w2_3_2_39_R	Field	Mock_I2	Watered	Root	I2	19	B	3	NB_Watered_Root_I2	Watered_Root
w2_3_2_40_R	Field	Mock_I2	Watered	Root	I2	20	B	3	NB_Watered_Root_I2	Watered_Root
w1_8_2_123_R	Field	SynCom_I2	Watered	Root	I2	1	A	8	SynCom_Watered_Root_I2	Watered_Root
w1_8_2_125_R	Field	SynCom_I2	Watered	Root	I2	2	A	8	SynCom_Watered_Root_I2	Watered_Root
w1_8_2_126_R	Field	SynCom_I2	Watered	Root	I2	3	A	8	SynCom_Watered_Root_I2	Watered_Root
w1_8_2_127_R	Field	SynCom_I2	Watered	Root	I2	4	A	8	SynCom_Watered_Root_I2	Watered_Root
w1_8_2_129_R	Field	SynCom_I2	Watered	Root	I2	5	A	8	SynCom_Watered_Root_I2	Watered_Root
w1_9_2_141_R	Field	SynCom_I2	Watered	Root	I2	6	A	9	SynCom_Watered_Root_I2	Watered_Root
w1_9_2_142_R	Field	SynCom_I2	Watered	Root	I2	7	A	9	SynCom_Watered_Root_I2	Watered_Root
w1_9_2_146_R	Field	SynCom_I2	Watered	Root	I2	8	A	9	SynCom_Watered_Root_I2	Watered_Root
w1_9_2_148_R	Field	SynCom_I2	Watered	Root	I2	9	A	9	SynCom_Watered_Root_I2	Watered_Root
w1_9_2_149_R	Field	SynCom_I2	Watered	Root	I2	10	A	9	SynCom_Watered_Root_I2	Watered_Root
w2_8_2_131_R	Field	SynCom_I2	Watered	Root	I2	11	B	8	SynCom_Watered_Root_I2	Watered_Root
w2_9_2_159_R	Field	SynCom_I2	Watered	Root	I2	12	B	8	SynCom_Watered_Root_I2	Watered_Root
w2_8_2_133_R	Field	SynCom_I2	Watered	Root	I2	13	B	8	SynCom_Watered_Root_I2	Watered_Root
w2_8_2_135_R	Field	SynCom_I2	Watered	Root	I2	14	B	8	SynCom_Watered_Root_I2	Watered_Root
w2_8_2_140_R	Field	SynCom_I2	Watered	Root	I2	15	B	8	SynCom_Watered_Root_I2	Watered_Root
w2_9_2_151_R	Field	SynCom_I2	Watered	Root	I2	16	B	9	SynCom_Watered_Root_I2	Watered_Root
w2_9_2_152_R	Field	SynCom_I2	Watered	Root	I2	17	B	9	SynCom_Watered_Root_I2	Watered_Root
w2_9_2_153_R	Field	SynCom_I2	Watered	Root	I2	18	B	9	SynCom_Watered_Root_I2	Watered_Root
w2_9_2_154_R	Field	SynCom_I2	Watered	Root	I2	19	B	9	SynCom_Watered_Root_I2	Watered_Root
w2_8_2_132_R	Field	SynCom_I2	Watered	Root	I2	20	B	9	SynCom_Watered_Root_I2	Watered_Root
