SampleID	Experiment	Treatment	WaterMedia	SampletypeWeek	BoxDilutionInoculation	Replica	Tier	Row	Group	SampleWater
w1_2_2_11_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	1	A	2	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_2_2_12_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	2	A	2	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_2_2_13_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	3	A	2	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_2_2_3_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	4	A	2	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_2_2_9_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	5	A	2	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_3_2_23_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	6	A	3	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_3_2_26_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	7	A	3	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_3_2_27_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	8	A	3	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_3_2_29_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	9	A	3	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_3_2_31_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	10	A	3	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w2_2_2_14_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	11	B	2	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w2_2_2_17_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	12	B	2	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w2_2_2_18_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	13	B	2	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w2_2_2_19_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	14	B	2	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w2_2_2_20_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	15	B	2	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w2_3_2_35_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	16	B	3	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w2_3_2_37_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	17	B	3	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w2_3_2_38_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	18	B	3	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w2_3_2_39_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	19	B	3	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w2_3_2_40_Rh	Field	Mock_I2	Watered	Rhizosphere	I2	20	A	3	NB_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_8_2_123_Rh	Field	SynCom_I2	Watered	Rhizosphere	I2	1	A	8	SynCom_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_8_2_125_Rh	Field	SynCom_I2	Watered	Rhizosphere	I2	2	A	8	SynCom_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_8_2_126_Rh	Field	SynCom_I2	Watered	Rhizosphere	I2	3	A	8	SynCom_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_8_2_127_Rh	Field	SynCom_I2	Watered	Rhizosphere	I2	4	A	8	SynCom_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_8_2_129_Rh	Field	SynCom_I2	Watered	Rhizosphere	I2	5	A	8	SynCom_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_9_2_141_Rh	Field	SynCom_I2	Watered	Rhizosphere	I2	6	A	9	SynCom_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_9_2_142_Rh	Field	SynCom_I2	Watered	Rhizosphere	I2	7	A	9	SynCom_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_9_2_146_Rh	Field	SynCom_I2	Watered	Rhizosphere	I2	8	A	9	SynCom_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_9_2_148_Rh	Field	SynCom_I2	Watered	Rhizosphere	I2	9	A	9	SynCom_Watered_Rhizosphere_I2	Watered_Rhizosphere
w1_9_2_149_Rh	Field	SynCom_I2	Watered	Rhizosphere	I2	10	B	9	SynCom_Watered_Rhizosphere_I2	Watered_Rhizosphere
w2_8_2_131_Rh	Field	SynCom_I2	Watered	Rhizosphere	I2	11	B	8	SynCom_Watered_Rhizosphere_I2	Watered_Rhizosphere
