SampleID	Experiment	Treatment	WaterMedia	SampletypeWeek	BoxDilutionInoculation	Replica	Tier	Row	Group	SampleWater
d1_12_1_160_R	Field	Mock_I1	Drought	Root	I1	1	A	2	NB_Drought_Root_I1	Drought_Root
d1_12_1_162_R	Field	Mock_I1	Drought	Root	I1	2	A	2	NB_Drought_Root_I1	Drought_Root
d1_12_1_164_R	Field	Mock_I1	Drought	Root	I1	3	A	2	NB_Drought_Root_I1	Drought_Root
d1_12_1_170_R	Field	Mock_I1	Drought	Root	I1	4	A	2	NB_Drought_Root_I1	Drought_Root
d1_12_1_171_R	Field	Mock_I1	Drought	Root	I1	5	A	2	NB_Drought_Root_I1	Drought_Root
d1_13_1_201_R	Field	Mock_I1	Drought	Root	I1	6	A	3	NB_Drought_Root_I1	Drought_Root
d1_13_1_203_R	Field	Mock_I1	Drought	Root	I1	7	A	3	NB_Drought_Root_I1	Drought_Root
d1_13_1_205_R	Field	Mock_I1	Drought	Root	I1	8	A	3	NB_Drought_Root_I1	Drought_Root
d1_13_1_208_R	Field	Mock_I1	Drought	Root	I1	9	A	3	NB_Drought_Root_I1	Drought_Root
d1_13_1_210_R	Field	Mock_I1	Drought	Root	I1	10	A	3	NB_Drought_Root_I1	Drought_Root
d2_12_1_166_R	Field	Mock_I1	Drought	Root	I1	11	B	2	NB_Drought_Root_I1	Drought_Root
d2_12_1_175_R	Field	Mock_I1	Drought	Root	I1	12	B	2	NB_Drought_Root_I1	Drought_Root
d2_12_1_176_R	Field	Mock_I1	Drought	Root	I1	13	B	2	NB_Drought_Root_I1	Drought_Root
d2_12_1_178_R	Field	Mock_I1	Drought	Root	I1	14	B	2	NB_Drought_Root_I1	Drought_Root
d2_12_1_200_R	Field	Mock_I1	Drought	Root	I1	15	B	2	NB_Drought_Root_I1	Drought_Root
d2_13_1_211_R	Field	Mock_I1	Drought	Root	I1	16	B	3	NB_Drought_Root_I1	Drought_Root
d2_13_1_214_R	Field	Mock_I1	Drought	Root	I1	17	B	3	NB_Drought_Root_I1	Drought_Root
d2_13_1_216_R	Field	Mock_I1	Drought	Root	I1	18	B	3	NB_Drought_Root_I1	Drought_Root
d2_13_1_218_R	Field	Mock_I1	Drought	Root	I1	19	B	3	NB_Drought_Root_I1	Drought_Root
d2_13_1_219_R	Field	Mock_I1	Drought	Root	I1	20	B	3	NB_Drought_Root_I1	Drought_Root
d1_18_1_321_R	Field	SynCom_I1	Drought	Root	I1	1	A	8	SynCom_Drought_Root_I1	Drought_Root
d1_18_1_323_R	Field	SynCom_I1	Drought	Root	I1	2	A	8	SynCom_Drought_Root_I1	Drought_Root
d1_18_1_326_R	Field	SynCom_I1	Drought	Root	I1	3	A	8	SynCom_Drought_Root_I1	Drought_Root
d1_18_1_328_R	Field	SynCom_I1	Drought	Root	I1	4	A	8	SynCom_Drought_Root_I1	Drought_Root
d1_18_1_330_R	Field	SynCom_I1	Drought	Root	I1	5	A	8	SynCom_Drought_Root_I1	Drought_Root
d1_19_1_341_R	Field	SynCom_I1	Drought	Root	I1	6	A	9	SynCom_Drought_Root_I1	Drought_Root
d1_19_1_344_R	Field	SynCom_I1	Drought	Root	I1	7	A	9	SynCom_Drought_Root_I1	Drought_Root
d1_19_1_346_R	Field	SynCom_I1	Drought	Root	I1	8	A	9	SynCom_Drought_Root_I1	Drought_Root
d1_19_1_348_R	Field	SynCom_I1	Drought	Root	I1	9	A	9	SynCom_Drought_Root_I1	Drought_Root
d1_19_1_350_R	Field	SynCom_I1	Drought	Root	I1	10	A	9	SynCom_Drought_Root_I1	Drought_Root
d2_18_1_325_R	Field	SynCom_I1	Drought	Root	I1	11	B	8	SynCom_Drought_Root_I1	Drought_Root
d2_18_1_335_R	Field	SynCom_I1	Drought	Root	I1	12	B	8	SynCom_Drought_Root_I1	Drought_Root
d2_18_1_337_R	Field	SynCom_I1	Drought	Root	I1	13	B	8	SynCom_Drought_Root_I1	Drought_Root
d2_18_1_338_R	Field	SynCom_I1	Drought	Root	I1	14	B	8	SynCom_Drought_Root_I1	Drought_Root
d2_18_1_340_R	Field	SynCom_I1	Drought	Root	I1	15	B	8	SynCom_Drought_Root_I1	Drought_Root
d2_19_1_351_R	Field	SynCom_I1	Drought	Root	I1	16	B	9	SynCom_Drought_Root_I1	Drought_Root
d2_19_1_354_R	Field	SynCom_I1	Drought	Root	I1	17	B	9	SynCom_Drought_Root_I1	Drought_Root
d2_19_1_355_R	Field	SynCom_I1	Drought	Root	I1	18	B	9	SynCom_Drought_Root_I1	Drought_Root
d2_19_1_357_R	Field	SynCom_I1	Drought	Root	I1	19	B	9	SynCom_Drought_Root_I1	Drought_Root
d2_19_1_360_R	Field	SynCom_I1	Drought	Root	I1	20	B	9	SynCom_Drought_Root_I1	Drought_Root
