SampleID	Experiment	Treatment	WaterMedia	SampletypeWeek	BoxDilutionInoculation	Replica	Tier	Row	Group	SampleWater
d1_12_2_160_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	1	A	2	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d1_12_2_162_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	2	A	2	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d1_12_2_164_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	3	A	2	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d1_12_2_170_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	4	A	2	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d1_12_2_171_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	5	A	2	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d1_13_2_201_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	6	A	3	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d1_13_2_203_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	7	A	3	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d1_13_2_205_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	8	A	3	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d1_13_2_208_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	9	A	3	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d1_13_2_210_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	10	A	3	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d2_12_2_166_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	11	B	2	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d2_12_2_175_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	12	B	2	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d2_12_2_176_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	13	B	2	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d2_12_2_178_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	14	B	2	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d2_12_2_200_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	15	B	2	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d2_13_2_211_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	16	B	3	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d2_13_2_214_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	17	B	3	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d2_13_2_216_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	18	B	3	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d2_13_2_218_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	19	B	3	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
d2_13_2_219_Rh	Field	Mock_I2	Drought	Rhizosphere	I2	20	A	3	NB_Drought_Rhizosphere_I2	Drought_Rhizosphere
