SampleID	Experiment	Treatment	WaterMedia	SampletypeWeek	BoxDilutionInoculation	Replica	Tier	Row	Group	SampleWater
w1_2_1_11_R	Field	Mock_I1	Watered	Root	I1	1	A	2	NB_Watered_Root_I1	Watered_Root
w1_2_1_12_R	Field	Mock_I1	Watered	Root	I1	2	A	2	NB_Watered_Root_I1	Watered_Root
w1_2_1_13_R	Field	Mock_I1	Watered	Root	I1	3	A	2	NB_Watered_Root_I1	Watered_Root
w1_2_1_3_R	Field	Mock_I1	Watered	Root	I1	4	A	2	NB_Watered_Root_I1	Watered_Root
w1_2_1_9_R	Field	Mock_I1	Watered	Root	I1	5	A	2	NB_Watered_Root_I1	Watered_Root
w1_3_1_23_R	Field	Mock_I1	Watered	Root	I1	6	A	3	NB_Watered_Root_I1	Watered_Root
w1_3_1_26_R	Field	Mock_I1	Watered	Root	I1	7	A	3	NB_Watered_Root_I1	Watered_Root
w1_3_1_27_R	Field	Mock_I1	Watered	Root	I1	8	A	3	NB_Watered_Root_I1	Watered_Root
w1_3_1_29_R	Field	Mock_I1	Watered	Root	I1	9	A	3	NB_Watered_Root_I1	Watered_Root
w1_3_1_31_R	Field	Mock_I1	Watered	Root	I1	10	A	3	NB_Watered_Root_I1	Watered_Root
w2_2_1_14_R	Field	Mock_I1	Watered	Root	I1	11	B	2	NB_Watered_Root_I1	Watered_Root
w2_2_1_17_R	Field	Mock_I1	Watered	Root	I1	12	B	2	NB_Watered_Root_I1	Watered_Root
w2_2_1_18_R	Field	Mock_I1	Watered	Root	I1	13	B	2	NB_Watered_Root_I1	Watered_Root
w2_2_1_19_R	Field	Mock_I1	Watered	Root	I1	14	B	2	NB_Watered_Root_I1	Watered_Root
w2_2_1_20_R	Field	Mock_I1	Watered	Root	I1	15	B	2	NB_Watered_Root_I1	Watered_Root
w2_3_1_35_R	Field	Mock_I1	Watered	Root	I1	16	B	3	NB_Watered_Root_I1	Watered_Root
w2_3_1_37_R	Field	Mock_I1	Watered	Root	I1	17	B	3	NB_Watered_Root_I1	Watered_Root
w2_3_1_38_R	Field	Mock_I1	Watered	Root	I1	18	B	3	NB_Watered_Root_I1	Watered_Root
w2_3_1_39_R	Field	Mock_I1	Watered	Root	I1	19	B	3	NB_Watered_Root_I1	Watered_Root
w2_3_1_40_R	Field	Mock_I1	Watered	Root	I1	20	B	3	NB_Watered_Root_I1	Watered_Root
w1_8_1_123_R	Field	SynCom_I1	Watered	Root	I1	1	A	8	SynCom_Watered_Root_I1	Watered_Root
w1_8_1_125_R	Field	SynCom_I1	Watered	Root	I1	2	A	8	SynCom_Watered_Root_I1	Watered_Root
w1_8_1_126_R	Field	SynCom_I1	Watered	Root	I1	3	A	8	SynCom_Watered_Root_I1	Watered_Root
w1_8_1_127_R	Field	SynCom_I1	Watered	Root	I1	4	A	8	SynCom_Watered_Root_I1	Watered_Root
w1_8_1_129_R	Field	SynCom_I1	Watered	Root	I1	5	A	8	SynCom_Watered_Root_I1	Watered_Root
w1_9_1_141_R	Field	SynCom_I1	Watered	Root	I1	6	A	9	SynCom_Watered_Root_I1	Watered_Root
w1_9_1_142_R	Field	SynCom_I1	Watered	Root	I1	7	A	9	SynCom_Watered_Root_I1	Watered_Root
w1_9_1_146_R	Field	SynCom_I1	Watered	Root	I1	8	A	9	SynCom_Watered_Root_I1	Watered_Root
w1_9_1_148_R	Field	SynCom_I1	Watered	Root	I1	9	A	9	SynCom_Watered_Root_I1	Watered_Root
w1_9_1_149_R	Field	SynCom_I1	Watered	Root	I1	10	A	9	SynCom_Watered_Root_I1	Watered_Root
w2_8_1_131_R	Field	SynCom_I1	Watered	Root	I1	11	B	8	SynCom_Watered_Root_I1	Watered_Root
w2_8_1_159_R	Field	SynCom_I1	Watered	Root	I1	12	B	8	SynCom_Watered_Root_I1	Watered_Root
w2_8_1_133_R	Field	SynCom_I1	Watered	Root	I1	13	B	8	SynCom_Watered_Root_I1	Watered_Root
w2_8_1_135_R	Field	SynCom_I1	Watered	Root	I1	14	B	8	SynCom_Watered_Root_I1	Watered_Root
w2_8_1_140_R	Field	SynCom_I1	Watered	Root	I1	15	B	8	SynCom_Watered_Root_I1	Watered_Root
w2_9_1_151_R	Field	SynCom_I1	Watered	Root	I1	16	B	9	SynCom_Watered_Root_I1	Watered_Root
w2_9_1_152_R	Field	SynCom_I1	Watered	Root	I1	17	B	9	SynCom_Watered_Root_I1	Watered_Root
w2_9_1_153_R	Field	SynCom_I1	Watered	Root	I1	18	B	9	SynCom_Watered_Root_I1	Watered_Root
w2_9_1_154_R	Field	SynCom_I1	Watered	Root	I1	19	B	9	SynCom_Watered_Root_I1	Watered_Root
w2_9_1_132_R	Field	SynCom_I1	Watered	Root	I1	20	B	9	SynCom_Watered_Root_I1	Watered_Root
