SampleID	Experiment	Treatment	WaterMedia	SampletypeWeek	BoxDilutionInoculation	Replica	Tier	Row	Group	SampleWater
w1_2_1_11_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	1	A	2	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_2_1_12_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	2	A	2	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_2_1_13_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	3	A	2	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_2_1_3_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	4	A	2	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_2_1_9_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	5	A	2	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_3_1_23_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	6	A	3	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_3_1_26_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	7	A	3	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_3_1_27_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	8	A	3	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_3_1_29_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	9	A	3	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_3_1_31_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	10	A	3	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w2_2_1_14_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	11	B	2	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w2_2_1_17_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	12	B	2	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w2_2_1_18_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	13	B	2	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w2_2_1_19_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	14	B	2	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w2_2_1_20_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	15	B	2	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w2_3_1_35_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	16	B	3	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w2_3_1_37_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	17	B	3	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w2_3_1_38_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	18	B	3	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w2_3_1_39_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	19	B	3	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w2_3_1_40_Rh	Field	Mock_I1	Watered	Rhizosphere	I1	20	A	3	NB_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_8_1_123_Rh	Field	SynCom_I1	Watered	Rhizosphere	I1	1	A	8	SynCom_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_8_1_125_Rh	Field	SynCom_I1	Watered	Rhizosphere	I1	2	A	8	SynCom_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_8_1_126_Rh	Field	SynCom_I1	Watered	Rhizosphere	I1	3	A	8	SynCom_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_8_1_127_Rh	Field	SynCom_I1	Watered	Rhizosphere	I1	4	A	8	SynCom_Watered_Rhizosphere_I1	Watered_Rhizosphere
w1_8_1_129_Rh	Field	SynCom_I1	Watered	Rhizosphere	I1	5	A	8	SynCom_Watered_Rhizosphere_I1	Watered_Rhizosphere
